"id","name","gender","school_level","shift","student_drop_count"
1104001,"Yamuna Vihar, Block B, No.1-SBV","Boys","Sarvodaya Sr.Secondary","Evening",520
1104261,"Tukhmirpur-GBSSS","Boys","Sr.Secondary","Evening",483
1104002,"Khajoori Khas-SBV","Boys","Sarvodaya Sr.Secondary","Evening",482
1925002,"Noor Nagar- SBV","Boys","Sarvodaya Sr.Secondary","Evening",480
1104009,"Yamuna Vihar, Block C, No.1-SBV","Boys","Sarvodaya Sr.Secondary","Evening",435
1002013,"Dallupura-SBV","Boys","Sarvodaya Sr.Secondary","Evening",419
1925342,"HARKESH NAGAR GBSSS","Boys","Sr.Secondary","Evening",413
1925052,"Joga Bai-GBSSS","Boys","Sr.Secondary","Evening",404
1106012,"Dilshad Garden, Block J&K-SBV","Boys","Sarvodaya Sr.Secondary","Evening",394
1104336,"Sonia Vihar-GBSSS","Boys","Sr.Secondary","Evening",383
1309259,"Jahangirpuri, Block K-GBSSS","Boys","Sr.Secondary","Evening",376
1925049,"Joga Bai-SKV","Girls","Sarvodaya Sr.Secondary","Morning",372
1310415,"Bawana J. J. Colony No.2 GBSSS","Boys","Sr.Secondary","Evening",357
1002187,"New Ashok Nagar-GBSSS","Boys","Sr.Secondary","Evening",353
1106009,"Sarvodaya Bal Vidyalaya, Seemapuri","Boys","Sarvodaya Sr.Secondary","Evening",352
1618009,"Kakrola-SV","Co-ed","Sarvodaya Sr.Secondary","General",349
1207236,"Mukund Pur Village - GBSSS","Boys","Sr.Secondary","Evening",344
1925399,"Molar Band, No.3- GBSSS","Boys","Sr.Secondary","Evening",341
1821005,"Samalka, No.1- GBSSS","Boys","Sr.Secondary","Evening",340
1412092,"Nithari Village- SBV","Boys","Sarvodaya Sr.Secondary","Evening",337
1617029,"Sarvodaya Co-ed Vidyalaya","Co-ed","Sarvodaya Sr.Secondary","General",336
1104420,"Tukhmirpur, No.2- GBSSS","Boys","Sr.Secondary","Evening",333
1925041,"Kalkaji, DDA Flats, Phase II-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",331
1207230,"Mukund Pur Village - GGSSS","Girls","Sr.Secondary","Morning",320
1310395,"Shahabad Dairy-GBSSS","Boys","Sr.Secondary","Evening",313
1821244,"Samalka, No.2- GBSSS","Boys","Sr.Secondary","Evening",313
1309260,"Jahangirpuri, Block K-GGSSS","Girls","Sr.Secondary","Morning",312
1617037,"Nangloi, J.J. Colony-GBSSS","Boys","Sr.Secondary","Evening",309
1310168,"Bankner-SBV","Boys","Sarvodaya Sr.Secondary","General",308
1617001,"Tikri Kalan- GBSSS","Boys","Sr.Secondary","General",307
1925360,"Badarpur, Tajpur Pahari - GBSSS","Boys","Sr.Secondary","Evening",305
